type,weight,source,target
ownership,0.90522873,341411,Kimberly Williams
partnership,0.8114393,341411,Holly Taylor
membership,0.8109878,341411,Michael Wright
ownership,0.91693646,341411,353361057
partnership,0.8737107,341411,Thomas Morales
partnership,0.84216976,341411,Calvin Salas
partnership,0.8072433,341411,Michael Chen
membership,0.8208812,341411,Jerry Welch
partnership,0.8631315,341411,Stacey Ortiz
membership,0.8253791,341411,Brooke Hamilton
membership,0.87211215,341411,Kristi Miller
partnership,0.8199111,341411,âŠ
partnership,0.8231676,341411,âit
membership,0.80698365,341411,Scott Day
membership,0.8656439,341411,âStuff
membership,0.8482277,341411,âDo
partnership,0.90137154,341411,011ad1ae-ae1b-4c74-9f58-c020e6a3e836
ownership,0.8918359,341411,Dry Creek S.p.A. Overseas
partnership,0.8143347,341411,5639000
membership,0.9061567,341411,James Hall
family_relationship,0.88211274,341411,95c715ba-891e-4472-8e2a-4e746dcc266a
partnership,0.8842487,341411,1a2ebb93-1c85-4f40-abb1-cff639788678
ownership,0.8162231,341411,Playa del Cielo Kga
partnership,0.9116862,341411,Playa del Cielo Kga
partnership,0.8814477,341411,Playa del Cielo Kga
family_relationship,0.84034866,341411,Mar del Oeste Pic
membership,0.8451694,341411,png xi  Line
ownership,0.9421946,341411,png xi  Line
partnership,0.82862526,341411,png xi  Line
ownership,0.8263122,341411,png xi  Line
partnership,0.85732675,341411,png xi  Line
partnership,0.80623406,341411,SeaSpray Wave SRL Solutions
membership,0.81913185,341411,SeaSpray Wave SRL Solutions
membership,0.8386216,341411,Ocean Fisheries Llc
ownership,0.83630896,341411,903311212
ownership,0.8332552,341411,903311212
ownership,0.9787477,âvictimâ,âperpetratorâ
family_relationship,0.86577845,William Bradley,Joseph Griffin
membership,0.85806096,William Bradley,âŠâ
family_relationship,0.8185755,William Bradley,dec44f58-94b0-4070-bfb3-1e13ef308ec3
family_relationship,0.8655445,William Bradley,Michelle Singh
family_relationship,0.8605167,William Bradley,SSN
family_relationship,0.91271037,William Bradley,Tyler Palmer
partnership,0.83875203,Joseph Griffin,âŠâ
partnership,0.82702225,853949688,650512
membership,0.8487669,8,Meere Delpeuch
membership,0.8462429,128692,172711
ownership,0.8887883,128692,5441
ownership,0.84984857,128692,199442
membership,0.8493988,128692,âŠ
membership,0.8765248,Jacob Caldwell,82f2f404-439a-4b2e-b423-726a7f933abf
membership,0.90737545,Jacob Caldwell,298930
partnership,0.850722,Jacob Caldwell,555217629
family_relationship,0.90984166,Jacob Caldwell,Mark Garcia
membership,0.95600444,Jacob Caldwell,f59ca3ce-7fea-4a6b-893b-486565a8ab18
membership,0.8217456,Jacob Caldwell,Kerala Market Limited Liability Company
partnership,0.9400058,Jacob Caldwell,âtoppyâ
partnership,0.9635225,Jacob Caldwell,âstagâ
partnership,0.91754186,Jacob Caldwell,Pasture Petfoods New Zealand Ltd
membership,0.9236536,14253815,4369922c-ce1d-40ff-904c-1f6a3000bf6b
membership,0.87501806,14253815,341411
partnership,0.8228372,Saltwater Solitude GmbH & Co. KG,PRK
ownership,0.84636986,Saltwater Solitude GmbH & Co. KG,âVikingâ
ownership,0.85256207,PRK,âVikingâ
family_relationship,0.8158002,PRK,Viento Azul Harbor LLC Investment
membership,0.8926567,âVikingâ,903311212
partnership,0.83026195,506,4937447
partnership,0.8251247,4937447,png xi  Line
ownership,0.8324415,âregularâ,2079436
family_relationship,0.9734014,Ann Daniels,Stephanie Mccormick MD
family_relationship,0.9111044,Ann Daniels,Lisa Clay
family_relationship,0.893407,Stephanie Mccormick MD,Lisa Clay
ownership,0.8781619,589,Ht Shipping
ownership,0.93960327,589,Selena Building
ownership,0.91204643,589,87940
membership,0.8761564,Elizabeth Welch,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4
family_relationship,0.86860394,Elizabeth Welch,Sept
family_relationship,0.91782093,Elizabeth Welch,Kathleen Gates
family_relationship,0.8479064,Elizabeth Welch,Adam Cook
family_relationship,0.9334543,Elizabeth Welch,Jason Huff
membership,0.8198022,Elizabeth Welch,341411
membership,0.87356156,Elizabeth Welch,Ocean Fisheries Llc
membership,0.9060049,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,Elizabeth Welch
membership,0.9168633,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,Jason Huff
family_relationship,0.8439235,967900443,Eugene Ochoa
partnership,0.93514323,967900443,47679
family_relationship,0.8450796,967900443,175
family_relationship,0.84442157,967900443,95
partnership,0.80273694,967900443,621
membership,0.83508503,967900443,europeansting
membership,0.85337013,967900443,Jammu & Kashmir Ltd Family
ownership,0.9086017,967900443,âŠ
partnership,0.86137646,967900443,âIllegal
membership,0.8961464,967900443,99233
membership,0.8154257,967900443,Anne Anderson
membership,0.808791,967900443,Mar del Oeste Pic
membership,0.8472599,967900443,Mar del Oeste Pic
membership,0.81671745,1,Lisa Jimenez
partnership,0.931531,1,âfirst
membership,0.86627465,1,26978247
family_relationship,0.8518749,1,April
ownership,0.86264503,1,Amanda Mckenzie
membership,0.815024,445a6124-4650-4e5a-83bb-a0e0b4040ee9,341411
family_relationship,0.90730536,Martha Robbins,Don Hopkins
family_relationship,0.9240868,Martha Robbins,Joseph Gray
family_relationship,0.91885173,Don Hopkins,Joseph Gray
partnership,0.8298954,4,4975
partnership,0.8600049,4,7282284
partnership,0.89161706,4,1
partnership,0.87574035,4,77b46bc7-7e31-41a0-973c-e633011d21b0
partnership,0.87102747,4,7
ownership,0.874328,4,35
partnership,0.89158314,4,Faroe Islands Shrimp Shark
partnership,0.916578,4,6406040
membership,0.931029,4,290834957
ownership,0.8132084,4,Jamie Knox
partnership,0.895031,4,262157542
partnership,0.8671358,4,46194
family_relationship,0.8069837,4,80191
membership,0.9066468,4,Fisherman'sFriend Charter Boat S.A. de C.V. Freight 
partnership,0.84417665,4,PC
partnership,0.80577874,4,7892
partnership,0.8432517,4,39
partnership,0.8011801,4,7298083
partnership,0.8662459,4,3506021
family_relationship,0.83208364,4,235866056
family_relationship,0.81055665,4,172114
family_relationship,0.90906084,4,Irish Sea Seaside GmbH & Co. KG Distribution
family_relationship,0.8237005,4,Uttar Pradesh Sp
partnership,0.8764374,4,185040354
ownership,0.84244597,4,47679
ownership,0.8665408,4,662bfccd-798d-4e60-b308-2cb2918e3dd2
ownership,0.8409804,4,33560
membership,0.8256399,4,e69d4cb2-8bec-4496-8518-7426c6b9da65
family_relationship,0.8264122,4,Christopher Cunningham
family_relationship,0.8639725,4,979893388
family_relationship,0.8434426,4,341411
family_relationship,0.8752046,4,341411
partnership,0.8146135,4975,7282284
partnership,0.8612012,4975,1
membership,0.80752105,4975,23
membership,0.8336387,4975,Amanda Mckenzie
ownership,0.8600695,4975,Ocean Fisheries Llc
partnership,0.8281635,7282284,1
family_relationship,0.9627352,0,7775
family_relationship,0.96630234,0,Sean Vasquez
family_relationship,0.9068577,0,196159
family_relationship,0.97251624,0,755
family_relationship,0.9256628,0,Ancla del Mar Ltd. Corporation
ownership,0.8890874,0,Mrs. Jessica Meyer
ownership,0.801551,0,IMPORT
family_relationship,0.92493814,Sean Vasquez,755
family_relationship,0.92065895,196159,755
family_relationship,0.832814,196159,9067
family_relationship,0.829314,196159,750975
family_relationship,0.88874686,196159,3404599
family_relationship,0.9389447,196159,7775
family_relationship,0.8385527,196159,44956
family_relationship,0.93222636,196159,Timothy Reeves
membership,0.9044347,196159,7845
family_relationship,0.828081,196159,3
family_relationship,0.8368503,196159,766649
family_relationship,0.81705207,196159,21323516
family_relationship,0.86597633,196159,2262
partnership,0.86463815,196159,8787
partnership,0.91904044,196159,34731154
ownership,0.84459895,196159,493641959
family_relationship,0.90613616,196159,Laura Ballard
family_relationship,0.8195724,196159,b8567859-bf54-49fd-8332-5775e19c65af
family_relationship,0.8560038,196159,979893388
partnership,0.88028204,196159,903311212
family_relationship,0.87999827,755,Ancla del Mar Ltd. Corporation
family_relationship,0.90208447,755,95
family_relationship,0.932442,755,185040354
partnership,0.8579354,755,png xi  Line
family_relationship,0.8316,860067396,664738735
ownership,0.9414899,664738735,2262
ownership,0.9266041,664738735,5848
family_relationship,0.84260094,664738735,l y S.A. de C.V. International
membership,0.92508644,664738735,ipoa-iuu
family_relationship,0.8992294,290834957,Timothy Reeves
family_relationship,0.82103306,290834957,457009514
membership,0.88495195,290834957,99575926
membership,0.8159694,290834957,341411
family_relationship,0.8443837,290834957,341411
membership,0.9234728,290834957,72371354
partnership,0.8879697,290834957,6043477
family_relationship,0.80467075,290834957,Faroe Islands Shrimp Shark
membership,0.80859077,290834957,86597
membership,0.92531055,290834957,526269
partnership,0.8900971,290834957,610
partnership,0.88013136,290834957,Andrea Peters
partnership,0.86571074,290834957,767368152
partnership,0.83352184,290834957,c9b9c344-98ec-40b8-af05-8528e5d82534
partnership,0.8343056,290834957,5415
partnership,0.8056812,290834957,9473
family_relationship,0.8979618,290834957,e3431d4d-79df-4da9-b8cb-a4d05a8aa474
family_relationship,0.8468569,290834957,39c767d3-a9b4-41f4-8a5d-e14b6c20a2d2
family_relationship,0.8766986,290834957,Sarah Sandoval
family_relationship,0.8608418,290834957,Raymond Howell
membership,0.8689701,Timothy Reeves,7845
membership,0.8495383,Timothy Reeves,3404599
partnership,0.9356132,Timothy Reeves,faf.20363
membership,0.83086324,457009514,Kristin Graham
partnership,0.920394,457009514,99575926
family_relationship,0.8926999,6043477,Timothy Reeves
membership,0.8174395,6043477,457009514
membership,0.88252336,Jason Cameron,526269
partnership,0.8376872,Jason Cameron,HMS Medway
family_relationship,0.8538258,Jason Cameron,Kevin Moreno
ownership,0.8178406,Jason Cameron,SeaSpray Wave SRL Solutions
partnership,0.84074324,77b46bc7-7e31-41a0-973c-e633011d21b0,7
ownership,0.8535429,77b46bc7-7e31-41a0-973c-e633011d21b0,35
partnership,0.86291546,77b46bc7-7e31-41a0-973c-e633011d21b0,Faroe Islands Shrimp Shark
partnership,0.89794284,77b46bc7-7e31-41a0-973c-e633011d21b0,6406040
membership,0.91630006,77b46bc7-7e31-41a0-973c-e633011d21b0,290834957
family_relationship,0.805334,77b46bc7-7e31-41a0-973c-e633011d21b0,e40c01a4-8ed5-400f-857d-31e7bd263e35
membership,0.85309917,77b46bc7-7e31-41a0-973c-e633011d21b0,âencounteredâ
partnership,0.9075945,77b46bc7-7e31-41a0-973c-e633011d21b0,43685541
partnership,0.8632582,77b46bc7-7e31-41a0-973c-e633011d21b0,79538
partnership,0.91257226,77b46bc7-7e31-41a0-973c-e633011d21b0,Amanda Mckenzie
partnership,0.9079977,77b46bc7-7e31-41a0-973c-e633011d21b0,Danielle Camacho
partnership,0.9206723,77b46bc7-7e31-41a0-973c-e633011d21b0,âHe
ownership,0.8289663,77b46bc7-7e31-41a0-973c-e633011d21b0,Wesley Vasquez
partnership,0.8736513,77b46bc7-7e31-41a0-973c-e633011d21b0,Kelly Mccarthy
family_relationship,0.93070984,7,77b46bc7-7e31-41a0-973c-e633011d21b0
ownership,0.8390882,7,35
family_relationship,0.84499395,7,Faroe Islands Shrimp Shark
