type,weight,dataset,source,target,key
membership,0.88245773,MC1,Spanish Shrimp  Carriers,SeaSpray Wave SRL Solutions,0
membership,0.8822255,MC1,Spanish Shrimp  Carriers,png xi  Line,0
membership,0.91648334,MC1,Spanish Shrimp  Carriers,Mar del Oeste Pic,0
ownership,0.8070168,MC1,Spanish Shrimp  Carriers,Ocean Fisheries Llc,0
family_relationship,0.80074245,MC1,Spanish Shrimp  Carriers,Ocean Fisheries Llc,1
ownership,0.91701066,MC1,12744,Spanish Shrimp  Carriers,0
partnership,0.9258137,MC1,12744,255â273,0
membership,0.90370446,MC1,12744,858,0
ownership,0.92168045,MC1,143129355,Spanish Shrimp  Carriers,0
membership,0.811439,MC1,143129355,pilot,0
membership,0.85087025,MC1,143129355,9699687,0
membership,0.89279175,MC1,143129355,Melinda Bentley,0
family_relationship,0.9460538,MC1,7775,Sean Vasquez,0
family_relationship,0.85230386,MC1,7775,196159,0
family_relationship,0.95881826,MC1,7775,755,0
family_relationship,0.8827995,MC1,7775,Ancla del Mar Ltd. Corporation,0
family_relationship,0.91212845,MC1,7775,95,0
family_relationship,0.937907,MC1,7775,185040354,0
membership,0.8675355,MC1,1017141,2591586,0
membership,0.880043,MC1,1017141,185040354,0
partnership,0.90195256,MC1,1017141,0,0
family_relationship,0.89889705,MC1,2591586,185040354,0
partnership,0.9113865,MC1,2591586,0,0
ownership,0.8243702,MC1,2591586,49,0
family_relationship,0.88491124,MC1,2591586,71352,0
ownership,0.8380731,MC1,2591586,60806,0
membership,0.8130386,MC1,2591586,SeaSpray Wave SRL Solutions,0
partnership,0.8093446,MC1,2591586,png xi  Line,0
partnership,0.8574063,MC1,185040354,4,0
partnership,0.9082395,MC1,185040354,77b46bc7-7e31-41a0-973c-e633011d21b0,0
partnership,0.9027907,MC1,185040354,7,0
ownership,0.90231067,MC1,185040354,35,0
partnership,0.9120527,MC1,185040354,Faroe Islands Shrimp Shark,0
partnership,0.9322683,MC1,185040354,6406040,0
family_relationship,0.9499722,MC1,185040354,290834957,0
partnership,0.8384497,MC1,185040354,Jamie Knox,0
partnership,0.8960208,MC1,185040354,0,0
ownership,0.84134257,MC1,185040354,3506021,0
ownership,0.80856466,MC1,185040354,664738735,0
ownership,0.9200609,MC1,185040354,2262,0
ownership,0.896637,MC1,185040354,5848,0
ownership,0.82721174,MC1,185040354,505943,0
partnership,0.8559051,MC1,185040354,Jerry Welch,0
partnership,0.85033315,MC1,185040354,23774,0
partnership,0.81937426,MC1,185040354,854,0
membership,0.9579221,MC1,185040354,903311212,0
membership,0.9049128,MC1,185040354,Mar del Oeste Pic,0
partnership,0.88091284,MC1,Faroe Islands Shrimp Shark,2591586,0
membership,0.89682174,MC1,Faroe Islands Shrimp Shark,185040354,0
family_relationship,0.8004607,MC1,Faroe Islands Shrimp Shark,185040354,1
membership,0.9179369,MC1,Faroe Islands Shrimp Shark,650512,0
partnership,0.915767,MC1,Faroe Islands Shrimp Shark,6406040,0
membership,0.9320071,MC1,Faroe Islands Shrimp Shark,290834957,0
family_relationship,0.80087644,MC1,Faroe Islands Shrimp Shark,Ancla Azul Company Solutions,0
family_relationship,0.80773896,MC1,Faroe Islands Shrimp Shark,245,0
family_relationship,0.9212231,MC1,Faroe Islands Shrimp Shark,551,0
family_relationship,0.8270625,MC1,Faroe Islands Shrimp Shark,5372,0
family_relationship,0.82179725,MC1,Faroe Islands Shrimp Shark,951093,0
family_relationship,0.84672105,MC1,Faroe Islands Shrimp Shark,Tamil Nadu S.p.A.,0
family_relationship,0.88316095,MC1,Faroe Islands Shrimp Shark,02cd44a1-7945-40d9-b38f-56f70976582c,0
family_relationship,0.8576304,MC1,Faroe Islands Shrimp Shark,7950,0
membership,0.847137,MC1,Faroe Islands Shrimp Shark,44,0
membership,0.82616806,MC1,Faroe Islands Shrimp Shark,41,0
membership,0.83704895,MC1,Faroe Islands Shrimp Shark,c1aeee2d-0030-4d85-b45c-ac3fd9887b98,0
partnership,0.90117604,MC1,Faroe Islands Shrimp Shark,98703,0
partnership,0.93715215,MC1,Faroe Islands Shrimp Shark,34,0
partnership,0.81411695,MC1,Faroe Islands Shrimp Shark,Spanish Shrimp  Carriers,0
partnership,0.89687985,MC1,Faroe Islands Shrimp Shark,Dana Goodwin,0
partnership,0.8262601,MC1,Faroe Islands Shrimp Shark,7691,0
partnership,0.81719506,MC1,Faroe Islands Shrimp Shark,380,0
ownership,0.86927295,MC1,Faroe Islands Shrimp Shark,OceanicOrigin Foods Co and Son's,0
ownership,0.83493114,MC1,Faroe Islands Shrimp Shark,852015,0
ownership,0.86684185,MC1,Faroe Islands Shrimp Shark,71317,0
membership,0.9012811,MC1,Faroe Islands Shrimp Shark,Act,0
membership,0.94861764,MC1,Faroe Islands Shrimp Shark,l y S.A. de C.V. International,0
partnership,0.81251955,MC1,Faroe Islands Shrimp Shark,16,0
partnership,0.88998085,MC1,Faroe Islands Shrimp Shark,âThese,0
partnership,0.821271,MC1,Faroe Islands Shrimp Shark,31,0
partnership,0.83774954,MC1,Faroe Islands Shrimp Shark,3506021,0
membership,0.92099714,MC1,Faroe Islands Shrimp Shark,Fisherman'sFriend Charter Boat S.A. de C.V. Freight ,0
partnership,0.8437206,MC1,Faroe Islands Shrimp Shark,PC,0
partnership,0.84527004,MC1,Faroe Islands Shrimp Shark,39,0
partnership,0.80260277,MC1,Faroe Islands Shrimp Shark,7298083,0
family_relationship,0.80869645,MC1,Faroe Islands Shrimp Shark,FiTI,0
ownership,0.91337633,MC1,Faroe Islands Shrimp Shark,48,0
membership,0.82293105,MC1,Faroe Islands Shrimp Shark,43685541,0
partnership,0.94451296,MC1,Faroe Islands Shrimp Shark,Marie Lee,0
family_relationship,0.84685665,MC1,Faroe Islands Shrimp Shark,49,0
membership,0.8082731,MC1,Faroe Islands Shrimp Shark,449820,0
family_relationship,0.8115202,MC1,Faroe Islands Shrimp Shark,Victoria,0
family_relationship,0.854292,MC1,Faroe Islands Shrimp Shark,73166320,0
partnership,0.83002937,MC1,Faroe Islands Shrimp Shark,262157542,0
partnership,0.9467771,MC1,Faroe Islands Shrimp Shark,faf.20363,0
family_relationship,0.80275244,MC1,Faroe Islands Shrimp Shark,Christopher Cunningham,0
family_relationship,0.80719465,MC1,Faroe Islands Shrimp Shark,Christopher Cunningham,1
family_relationship,0.90827155,MC1,Faroe Islands Shrimp Shark,589,0
family_relationship,0.8224123,MC1,Faroe Islands Shrimp Shark,94,0
ownership,0.92168885,MC1,Faroe Islands Shrimp Shark,Mr. Joseph Johnson,0
partnership,0.83362126,MC1,Faroe Islands Shrimp Shark,720,0
membership,0.91618645,MC1,Faroe Islands Shrimp Shark,fdcbe098-dbe6-4e52-8bd7-96cf3ae30101,0
partnership,0.88314736,MC1,Faroe Islands Shrimp Shark,767,0
family_relationship,0.8398377,MC1,Faroe Islands Shrimp Shark,Master,0
partnership,0.89321953,MC1,Faroe Islands Shrimp Shark,Michael Andrews,0
ownership,0.9304359,MC1,Faroe Islands Shrimp Shark,Sarah Garcia,0
ownership,0.9054944,MC1,Faroe Islands Shrimp Shark,Jessica James,0
ownership,0.9223005,MC1,Faroe Islands Shrimp Shark,26794528-86a5-4b5e-802f-50c3f226c66b,0
ownership,0.8002637,MC1,Faroe Islands Shrimp Shark,c01c6a10-60c9-4f11-9409-aa04c3963826,0
ownership,0.8422154,MC1,Faroe Islands Shrimp Shark,57,0
membership,0.8259138,MC1,Faroe Islands Shrimp Shark,9550,0
family_relationship,0.83669424,MC1,Faroe Islands Shrimp Shark,46901627,0
ownership,0.8761594,MC1,Faroe Islands Shrimp Shark,Faurtil FÃ¡brica Urnas TietÃª,0
ownership,0.8191037,MC1,Faroe Islands Shrimp Shark,Turkish Mussels Ltd. Liability Co Marine biology,0
ownership,0.8986532,MC1,Faroe Islands Shrimp Shark,Leslie Williams,0
partnership,0.8249205,MC1,Faroe Islands Shrimp Shark,83951569,0
membership,0.80356675,MC1,Faroe Islands Shrimp Shark,577a9358-a718-4d90-a90e-88f88c58160d,0
family_relationship,0.82205546,MC1,Faroe Islands Shrimp Shark,b120bc86-764c-4e2b-9f36-1587f91a20e3,0
family_relationship,0.8200454,MC1,Faroe Islands Shrimp Shark,6c7a8222-efc7-41a6-809a-043b091ae04a,0
ownership,0.8693283,MC1,Faroe Islands Shrimp Shark,Sarah Hays,0
ownership,0.87307334,MC1,Faroe Islands Shrimp Shark,8541598,0
membership,0.8320456,MC1,Faroe Islands Shrimp Shark,6731,0
partnership,0.9050164,MC1,Faroe Islands Shrimp Shark,b8567859-bf54-49fd-8332-5775e19c65af,0
partnership,0.8558467,MC1,Faroe Islands Shrimp Shark,979893388,0
family_relationship,0.8614878,MC1,Faroe Islands Shrimp Shark,341411,0
partnership,0.8672443,MC1,Faroe Islands Shrimp Shark,341411,1
family_relationship,0.88049114,MC1,Faroe Islands Shrimp Shark,Playa del Cielo Kga,0
family_relationship,0.8554233,MC1,Faroe Islands Shrimp Shark,Playa del Cielo Kga,1
family_relationship,0.83714163,MC1,Faroe Islands Shrimp Shark,png xi  Line,0
family_relationship,0.89177126,MC1,Faroe Islands Shrimp Shark,png xi  Line,1
membership,0.8417909,MC1,Faroe Islands Shrimp Shark,png xi  Line,2
ownership,0.86580426,MC1,Faroe Islands Shrimp Shark,png xi  Line,3
ownership,0.8793665,MC1,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,0
ownership,0.88534224,MC1,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,1
family_relationship,0.8202867,MC1,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,2
membership,0.82755584,MC1,Faroe Islands Shrimp Shark,903311212,0
partnership,0.8062242,MC1,341411,21323516,0
membership,0.8733182,MC1,341411,Lisa Jimenez,0
membership,0.9089618,MC1,341411,526269,0
partnership,0.95340335,MC1,341411,99575926,0
family_relationship,0.9426687,MC1,341411,290834957,0
membership,0.9565551,MC1,341411,72371354,0
ownership,0.8608428,MC1,341411,55,0
ownership,0.82686514,MC1,341411,766649,0
membership,0.8264447,MC1,341411,Brian Nelson,0
partnership,0.9071883,MC1,341411,664738735,0
ownership,0.9090691,MC1,341411,âdevil vesselsâ,0
ownership,0.88596994,MC1,341411,1,0
partnership,0.81400937,MC1,341411,1,1
membership,0.8828208,MC1,341411,8c53a730-3aa1-463f-aef6-999a3cfbfb70,0
membership,0.8868463,MC1,341411,19,0
membership,0.8219815,MC1,341411,47679,0
membership,0.92915547,MC1,341411,47679,1
membership,0.85579586,MC1,341411,Mar del Paraso SRL Shipping,0
partnership,0.8233436,MC1,341411,3506021,0
ownership,0.8065772,MC1,341411,683962,0
partnership,0.9103383,MC1,341411,Kathleen Gates,0
partnership,0.82448506,MC1,341411,82408558,0
partnership,0.8219258,MC1,341411,New Bedford Light,0
membership,0.8893693,MC1,341411,f94bcae5-b023-48f6-a0d5-ff2f01cc00ed,0
membership,0.90387654,MC1,341411,f6cca381-c55e-44cc-b685-6c4139459b96,0
family_relationship,0.9422639,MC1,341411,d0123474-8425-4ab0-90d5-175920158638,0
ownership,0.8707887,MC1,341411,933c4581-7ecc-4377-995c-7a200fee617b,0
membership,0.9078944,MC1,341411,Spanish Shrimp  Carriers,0
partnership,0.9073893,MC1,341411,James Berry,0
ownership,0.8066812,MC1,341411,Sonia Fisheries Pvt,0
ownership,0.9280179,MC1,341411,Pesquera,0
partnership,0.9262474,MC1,341411,838200939,0
partnership,0.83361137,MC1,341411,860600018,0
partnership,0.8820587,MC1,341411,83951569,0
membership,0.8444066,MC1,341411,yearbook2036,0
partnership,0.92390555,MC1,341411,79538,0
membership,0.8601562,MC1,341411,Kevin Norton,0
ownership,0.9336032,MC1,341411,Howard Pierce,0
membership,0.81375825,MC1,341411,Jessica Brown,0
membership,0.8221274,MC1,341411,70,0
family_relationship,0.84565026,MC1,341411,85117949,0
membership,0.88210094,MC1,341411,DOFâs,0
partnership,0.92742187,MC1,341411,DOFâs,1
membership,0.8772003,MC1,341411,Last,0
family_relationship,0.8767541,MC1,341411,Irish Sea Seaside GmbH & Co. KG Distribution,0
family_relationship,0.9013175,MC1,341411,Irish Sea Seaside GmbH & Co. KG Distribution,1
family_relationship,0.8545139,MC1,341411,Faroe Islands Shrimp Shark,0
family_relationship,0.91822976,MC1,341411,Faroe Islands Shrimp Shark,1
family_relationship,0.8366485,MC1,341411,Faroe Islands Shrimp Shark,2
membership,0.91906863,MC1,341411,Faroe Islands Shrimp Shark,3
family_relationship,0.8083655,MC1,341411,235866056,0
family_relationship,0.8277229,MC1,341411,235866056,1
ownership,0.8248288,MC1,341411,28379,0
partnership,0.9121435,MC1,341411,Jason Neal,0
family_relationship,0.82984716,MC1,341411,b8f8208c-0388-484e-a700-b4c265170827,0
family_relationship,0.8854589,MC1,341411,1aa47ffc-05a8-4edd-a8e0-94c10b650bd8,0
family_relationship,0.8394572,MC1,341411,Wendy Duarte,0
membership,0.87030923,MC1,341411,weeks,0
membership,0.80907315,MC1,341411,40213337,0
ownership,0.8905956,MC1,341411,cutters,0
family_relationship,0.92843395,MC1,341411,Timothy Cuevas,0
family_relationship,0.9182399,MC1,341411,Joshua Glover,0
family_relationship,0.93056244,MC1,341411,Tara Villegas,0
family_relationship,0.8811106,MC1,341411,75399,0
family_relationship,0.92926365,MC1,341411,75399,1
partnership,0.9224263,MC1,341411,28,0
family_relationship,0.85933393,MC1,341411,Christopher Cunningham,0
family_relationship,0.8710709,MC1,341411,Christopher Cunningham,1
membership,0.8699977,MC1,341411,Christopher Cunningham,2
family_relationship,0.8185814,MC1,341411,b8567859-bf54-49fd-8332-5775e19c65af,0
membership,0.95098346,MC1,341411,b8567859-bf54-49fd-8332-5775e19c65af,1
membership,0.88443977,MC1,341411,967900443,0
family_relationship,0.8054692,MC1,341411,967900443,1
membership,0.84088117,MC1,341411,months,0
membership,0.88695025,MC1,341411,Janice Bell,0
membership,0.9484805,MC1,341411,George Morton,0
family_relationship,0.8229683,MC1,341411,98,0
family_relationship,0.82096106,MC1,341411,96,0
family_relationship,0.8558071,MC1,341411,93,0
family_relationship,0.8466374,MC1,341411,Olivia Bailey,0
family_relationship,0.8563299,MC1,341411,Uttar Pradesh Sp,0
partnership,0.88428277,MC1,341411,Debra Davis,0
partnership,0.89817876,MC1,341411,cefaf8b3-3aa2-4c59-b4aa-7974c8e1fe32,0
partnership,0.9114424,MC1,341411,Estrella de Coral Ltd. Corporation Logistics,0
partnership,0.8078936,MC1,341411,Laura Jimenez,0
family_relationship,0.82944757,MC1,341411,2028,0
membership,0.9409724,MC1,341411,f514483d-fb5f-4cb2-bb8d-b616b10336d8,0
ownership,0.91772944,MC1,341411,âVikingâ,0
ownership,0.80674386,MC1,341411,26676370,0
family_relationship,0.9010364,MC1,341411,Saltwater Solitude GmbH & Co. KG,0
ownership,0.8530793,MC1,341411,PRK,0
family_relationship,0.85398763,MC1,341411,Viento Azul Harbor LLC Investment,0
family_relationship,0.8874889,MC1,341411,Viking fishing,0
family_relationship,0.8081889,MC1,341411,175,0
family_relationship,0.836042,MC1,341411,95,0
family_relationship,0.8728973,MC1,341411,expect year,0
membership,0.88727766,MC1,341411,43685541,0
partnership,0.80781865,MC1,341411,Bryan Hill,0
partnership,0.87063706,MC1,341411,Michele Henry,0
membership,0.8304546,MC1,341411,58db776e-40f1-4e68-b13d-dcc42416ce58,0
membership,0.8565332,MC1,341411,73704,0
membership,0.92350876,MC1,341411,Amanda Mckenzie,0
membership,0.87692744,MC1,341411,Gulf of Guinea  Corporation,0
partnership,0.8918229,MC1,341411,Christopher Simon,0
partnership,0.89730024,MC1,341411,Robert Nguyen,0
partnership,0.9633033,MC1,341411,âfirst,0
partnership,0.97595835,MC1,341411,âinitiallyâ,0
ownership,0.8260966,MC1,341411,c01c6a10-60c9-4f11-9409-aa04c3963826,0
membership,0.9036867,MC1,341411,Ms. Stephanie Rivera DDS,0
partnership,0.8866799,MC1,341411,540613204,0
ownership,0.89258456,MC1,341411,46901627,0
family_relationship,0.8797047,MC1,341411,Seabreeze Foods Corporation Logistics,0
ownership,0.90522873,MC1,341411,Kimberly Williams,0
partnership,0.8114393,MC1,341411,Holly Taylor,0
membership,0.8109878,MC1,341411,Michael Wright,0
ownership,0.91693646,MC1,341411,353361057,0
partnership,0.8737107,MC1,341411,Thomas Morales,0
partnership,0.84216976,MC1,341411,Calvin Salas,0
partnership,0.8072433,MC1,341411,Michael Chen,0
membership,0.8208812,MC1,341411,Jerry Welch,0
partnership,0.8631315,MC1,341411,Stacey Ortiz,0
membership,0.8253791,MC1,341411,Brooke Hamilton,0
membership,0.87211215,MC1,341411,Kristi Miller,0
partnership,0.8199111,MC1,341411,âŠ,0
partnership,0.8231676,MC1,341411,âit,0
membership,0.80698365,MC1,341411,Scott Day,0
membership,0.8656439,MC1,341411,âStuff,0
membership,0.8482277,MC1,341411,âDo,0
partnership,0.90137154,MC1,341411,011ad1ae-ae1b-4c74-9f58-c020e6a3e836,0
ownership,0.8918359,MC1,341411,Dry Creek S.p.A. Overseas,0
partnership,0.8143347,MC1,341411,5639000,0
membership,0.9061567,MC1,341411,James Hall,0
family_relationship,0.88211274,MC1,341411,95c715ba-891e-4472-8e2a-4e746dcc266a,0
partnership,0.8842487,MC1,341411,1a2ebb93-1c85-4f40-abb1-cff639788678,0
ownership,0.8162231,MC1,341411,Playa del Cielo Kga,0
partnership,0.9116862,MC1,341411,Playa del Cielo Kga,1
partnership,0.8814477,MC1,341411,Playa del Cielo Kga,2
family_relationship,0.84034866,MC1,341411,Mar del Oeste Pic,0
membership,0.8451694,MC1,341411,png xi  Line,0
ownership,0.9421946,MC1,341411,png xi  Line,1
partnership,0.82862526,MC1,341411,png xi  Line,2
ownership,0.8263122,MC1,341411,png xi  Line,3
partnership,0.85732675,MC1,341411,png xi  Line,4
partnership,0.80623406,MC1,341411,SeaSpray Wave SRL Solutions,0
membership,0.81913185,MC1,341411,SeaSpray Wave SRL Solutions,1
membership,0.8386216,MC1,341411,Ocean Fisheries Llc,0
ownership,0.83630896,MC1,341411,903311212,0
ownership,0.8332552,MC1,341411,903311212,1
ownership,0.9787477,MC1,âvictimâ,âperpetratorâ,0
family_relationship,0.86577845,MC1,William Bradley,Joseph Griffin,0
membership,0.85806096,MC1,William Bradley,âŠâ,0
family_relationship,0.8185755,MC1,William Bradley,dec44f58-94b0-4070-bfb3-1e13ef308ec3,0
family_relationship,0.8655445,MC1,William Bradley,Michelle Singh,0
family_relationship,0.8605167,MC1,William Bradley,SSN,0
family_relationship,0.91271037,MC1,William Bradley,Tyler Palmer,0
partnership,0.83875203,MC1,Joseph Griffin,âŠâ,0
partnership,0.82702225,MC1,853949688,650512,0
membership,0.8487669,MC1,8,Meere Delpeuch,0
membership,0.8462429,MC1,128692,172711,0
ownership,0.8887883,MC1,128692,5441,0
ownership,0.84984857,MC1,128692,199442,0
membership,0.8493988,MC1,128692,âŠ,0
membership,0.8765248,MC1,Jacob Caldwell,82f2f404-439a-4b2e-b423-726a7f933abf,0
membership,0.90737545,MC1,Jacob Caldwell,298930,0
partnership,0.850722,MC1,Jacob Caldwell,555217629,0
family_relationship,0.90984166,MC1,Jacob Caldwell,Mark Garcia,0
membership,0.95600444,MC1,Jacob Caldwell,f59ca3ce-7fea-4a6b-893b-486565a8ab18,0
membership,0.8217456,MC1,Jacob Caldwell,Kerala Market Limited Liability Company,0
partnership,0.9400058,MC1,Jacob Caldwell,âtoppyâ,0
partnership,0.9635225,MC1,Jacob Caldwell,âstagâ,0
partnership,0.91754186,MC1,Jacob Caldwell,Pasture Petfoods New Zealand Ltd,0
membership,0.9236536,MC1,14253815,4369922c-ce1d-40ff-904c-1f6a3000bf6b,0
membership,0.87501806,MC1,14253815,341411,0
partnership,0.8228372,MC1,Saltwater Solitude GmbH & Co. KG,PRK,0
ownership,0.84636986,MC1,Saltwater Solitude GmbH & Co. KG,âVikingâ,0
ownership,0.85256207,MC1,PRK,âVikingâ,0
family_relationship,0.8158002,MC1,PRK,Viento Azul Harbor LLC Investment,0
membership,0.8926567,MC1,âVikingâ,903311212,0
partnership,0.83026195,MC1,506,4937447,0
partnership,0.8251247,MC1,4937447,png xi  Line,0
ownership,0.8324415,MC1,âregularâ,2079436,0
family_relationship,0.9734014,MC1,Ann Daniels,Stephanie Mccormick MD,0
family_relationship,0.9111044,MC1,Ann Daniels,Lisa Clay,0
family_relationship,0.893407,MC1,Stephanie Mccormick MD,Lisa Clay,0
ownership,0.8781619,MC1,589,Ht Shipping,0
ownership,0.93960327,MC1,589,Selena Building,0
ownership,0.91204643,MC1,589,87940,0
membership,0.8761564,MC1,Elizabeth Welch,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,0
family_relationship,0.86860394,MC1,Elizabeth Welch,Sept,0
family_relationship,0.91782093,MC1,Elizabeth Welch,Kathleen Gates,0
family_relationship,0.8479064,MC1,Elizabeth Welch,Adam Cook,0
family_relationship,0.9334543,MC1,Elizabeth Welch,Jason Huff,0
membership,0.8198022,MC1,Elizabeth Welch,341411,0
membership,0.87356156,MC1,Elizabeth Welch,Ocean Fisheries Llc,0
membership,0.9060049,MC1,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,Elizabeth Welch,0
membership,0.9168633,MC1,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,Jason Huff,0
family_relationship,0.8439235,MC1,967900443,Eugene Ochoa,0
partnership,0.93514323,MC1,967900443,47679,0
family_relationship,0.8450796,MC1,967900443,175,0
family_relationship,0.84442157,MC1,967900443,95,0
partnership,0.80273694,MC1,967900443,621,0
membership,0.83508503,MC1,967900443,europeansting,0
membership,0.85337013,MC1,967900443,Jammu & Kashmir Ltd Family,0
ownership,0.9086017,MC1,967900443,âŠ,0
partnership,0.86137646,MC1,967900443,âIllegal,0
membership,0.8961464,MC1,967900443,99233,0
membership,0.8154257,MC1,967900443,Anne Anderson,0
membership,0.808791,MC1,967900443,Mar del Oeste Pic,0
membership,0.8472599,MC1,967900443,Mar del Oeste Pic,1
membership,0.81671745,MC1,1,Lisa Jimenez,0
partnership,0.931531,MC1,1,âfirst,0
membership,0.86627465,MC1,1,26978247,0
family_relationship,0.8518749,MC1,1,April,0
ownership,0.86264503,MC1,1,Amanda Mckenzie,0
membership,0.815024,MC1,445a6124-4650-4e5a-83bb-a0e0b4040ee9,341411,0
family_relationship,0.90730536,MC1,Martha Robbins,Don Hopkins,0
family_relationship,0.9240868,MC1,Martha Robbins,Joseph Gray,0
family_relationship,0.91885173,MC1,Don Hopkins,Joseph Gray,0
partnership,0.8298954,MC1,4,4975,0
partnership,0.8600049,MC1,4,7282284,0
partnership,0.89161706,MC1,4,1,0
partnership,0.87574035,MC1,4,77b46bc7-7e31-41a0-973c-e633011d21b0,0
partnership,0.87102747,MC1,4,7,0
ownership,0.874328,MC1,4,35,0
partnership,0.89158314,MC1,4,Faroe Islands Shrimp Shark,0
partnership,0.916578,MC1,4,6406040,0
membership,0.931029,MC1,4,290834957,0
ownership,0.8132084,MC1,4,Jamie Knox,0
partnership,0.895031,MC1,4,262157542,0
partnership,0.8671358,MC1,4,46194,0
family_relationship,0.8069837,MC1,4,80191,0
membership,0.9066468,MC1,4,Fisherman'sFriend Charter Boat S.A. de C.V. Freight ,0
partnership,0.84417665,MC1,4,PC,0
partnership,0.80577874,MC1,4,7892,0
partnership,0.8432517,MC1,4,39,0
partnership,0.8011801,MC1,4,7298083,0
