type,dataset,country,id
,MC1,,The Pew Charitable Trustsâ
person,MC1,Country_271835,Jerry Montgomery
location,MC1,,ad8fe467-3759-4f53-bf6a-896a237d187f
vessel,MC1,,Leng 999 Gal
organization,MC1,,1402
location,MC1,,a0deebdf-db0c-4aa8-91b6-0536e017c20f
organization,MC1,,25125567
person,MC1,Country_271835,Parker Jones
event,MC1,,âCollecting
organization,MC1,,33681303
person,MC1,Country_461742,Michael Brock
organization,MC1,,2573803
organization,MC1,,56126935
,MC1,,âcollaborativeâ
person,MC1,Syrithania,Xavier Sanchez
person,MC1,Country_271835,Raymond King
person,MC1,Country_542476,Thomas Morales
organization,MC1,,138782226
person,MC1,Country_271835,Christopher Daniel
person,MC1,Country_887466,Linda Sherman
person,MC1,Country_271835,Mary Lucas
person,MC1,Country_271835,Morgan Black
person,MC1,Oceanus,Kristine Vaughn
organization,MC1,,1301719
person,MC1,Marebak,Melissa Gonzales
organization,MC1,,496391
organization,MC1,,7539428
location,MC1,,8afc9cb6-edf5-4a7d-9a02-054444a5604e
person,MC1,Country_271835,Crystal Smith
person,MC1,Oceanus,Richard Perkins
person,MC1,Oceanus,Amanda Gibson
person,MC1,Country_271835,Christine Jones
person,MC1,Country_271835,Carlos White
organization,MC1,,28379
person,MC1,Country_271835,Christine Robinson
organization,MC1,,958085
company,MC1,Marebak,Diao er Ltd. Corporation Transport
company,MC1,Marebak,Tshikwea Corp Marine sanctuary
location,MC1,,5ede75fe-f670-4a59-b693-da34e7f6eb47
person,MC1,Country_271835,Robert Adams
person,MC1,Country_271835,Brandon Jackson
person,MC1,Osterivaria,Sierra Smith
organization,MC1,,519994690
organization,MC1,,102642
organization,MC1,,7908385
organization,MC1,,691192
organization,MC1,,243964
company,MC1,Country_271835,Turkish Sword Ltd Export
person,MC1,Country_271835,Jasmine Camacho
person,MC1,Country_271835,Lindsey Palmer
event,MC1,,âespecially
person,MC1,Country_271835,Melissa Spence
location,MC1,,e13aca6a-88b5-4be7-a293-4a57854d7b1d
person,MC1,Country_789037,Jessica Brown
person,MC1,Country_271835,Daniel Snyder
organization,MC1,,441
person,MC1,Country_271835,Bethany Wright
person,MC1,Country_271835,Willie Hill
person,MC1,Country_271835,Jennifer Meyers
person,MC1,Country_271835,Allison Leonard
,MC1,,ââ
person,MC1,Country_271835,Amanda Andrews
person,MC1,Ivarisia,Bruce Brooks
organization,MC1,,111795162
organization,MC1,,482048
organization,MC1,,70
event,MC1,,âHe
location,MC1,,7cc6bfba-4893-444b-a641-a7d0b48fa427
organization,MC1,,56
organization,MC1,,621770
organization,MC1,,3016
organization,MC1,,98703
person,MC1,Country_271835,Misty Thomas
organization,MC1,,314
organization,MC1,,567
organization,MC1,,990
organization,MC1,,341853
organization,MC1,,13592
person,MC1,Country_449947,Dawn Sanchez
organization,MC1,,979893388
person,MC1,Country_271835,Tammy Ryan
person,MC1,Country_204272,Timothy Lopez
company,MC1,Country_271835,Marine Mermaids CJSC Marine biology
person,MC1,Country_204272,David Larsen
political_organization,MC1,,706129
organization,MC1,,14
organization,MC1,,4698
organization,MC1,,89734
person,MC1,Country_271835,Terry Murphy
organization,MC1,,491
organization,MC1,,3528
organization,MC1,,43247945
location,MC1,,e1d7b4ac-ed31-42a4-9375-4afb0f78f276
person,MC1,Country_271835,Mary Horton
vessel,MC1,,cutter James
person,MC1,Country_800653,Mr. Mark Kline
location,MC1,,1da2bc5a-e590-41c9-9982-2ade48dfc426
organization,MC1,,842229565
person,MC1,Country_271835,Dylan Roberts
vessel,MC1,,Hang
organization,MC1,,41695239
organization,MC1,,489
location,MC1,,67a59fab-710a-4992-b6d0-d581fd9dceba
location,MC1,,da75877e-ec57-42cc-82b9-de68c8d333e7
vessel,MC1,,boat
person,MC1,Syrithania,Michelle Hancock
person,MC1,Country_271835,Kathy Rodriguez
,MC1,,GalÃ
political_organization,MC1,,950296
vessel,MC1,,Oceans
person,MC1,Country_271835,David Weber
location,MC1,,7c54563c-577c-462f-8e30-389b510c776a
event,MC1,,Morning
person,MC1,Country_271835,Jennifer Simmons
organization,MC1,,4759
vessel,MC1,,626
location,MC1,,72899187-0989-47fa-9db0-cd1d4c3fc4e3
organization,MC1,,833355
political_organization,MC1,,27078926
organization,MC1,,2983
organization,MC1,,613281364
person,MC1,Country_271835,Dylan Moss
organization,MC1,,92
political_organization,MC1,,8597
organization,MC1,,801809
person,MC1,Country_271835,Angela Spencer
organization,MC1,,97
political_organization,MC1,,6889326
location,MC1,,ec1b111d-b9eb-4eef-ab00-ff7124cca480
organization,MC1,,32416483
location,MC1,,f2aee915-d483-4823-a030-9aac5e44c1fe
vessel,MC1,,oceanâs
organization,MC1,,7328
company,MC1,Country_271835,OceanicOrigin Foods Co and Son's
organization,MC1,,71317
organization,MC1,,852015
organization,MC1,,65
organization,MC1,,58745
organization,MC1,,71755
organization,MC1,,1972868
organization,MC1,,61057213
organization,MC1,,653
location,MC1,,473c1320-e50b-4f90-a068-76f82e210f26
company,MC1,Country_271835,Ola de la Costa S.A. de C.V.
organization,MC1,,18
organization,MC1,,24641639
organization,MC1,,678
organization,MC1,,6393
person,MC1,Country_271835,Margaret Shields
organization,MC1,,346281879
organization,MC1,,341
organization,MC1,,1094345
vessel,MC1,,629
person,MC1,Country_271835,Brian Wolfe
organization,MC1,,119411
organization,MC1,,8950
location,MC1,,8041aa28-8c50-4083-a528-469c0c6251d9
vessel,MC1,,621
person,MC1,Country_271835,Frank Guzman
location,MC1,,34f0cbbf-83c3-4e09-ad7a-b94a778f7c12
person,MC1,Country_271835,Michael Porter
person,MC1,Country_271835,Madison Edwards
person,MC1,Marebak,Calvin Salas
,MC1,,âpresumedâ
,MC1,,âconfirmedâ
organization,MC1,,685607
organization,MC1,,265494227
location,MC1,,2a282617-d174-409c-b0b1-490fdc369335
company,MC1,Country_271835,xu y Ltd. Corporation
event,MC1,,periods years
organization,MC1,,89035
person,MC1,Wysterion,Tristan Johnson
person,MC1,Country_271835,Andrew Gamble
organization,MC1,,21724
event,MC1,,âhigh
,MC1,,âwidespreadâ
person,MC1,Country_907876,David Mcfarland
,MC1,,âprotectedâ
organization,MC1,,30700925
person,MC1,Country_271835,George Morton
person,MC1,Country_271835,Janice Bell
movement,MC1,,Saturday
location,MC1,,a39483f8-121a-4c18-9b20-9e0d2cba52e9
organization,MC1,,58623386
organization,MC1,,492238508
person,MC1,Country_709784,Anita Tate
organization,MC1,,4447143
person,MC1,Country_271835,Lisa Foster
organization,MC1,,34252
organization,MC1,,8494294
,MC1,,Catchâ
organization,MC1,,17
organization,MC1,,150674265
person,MC1,Oceanus,Audrey Romero
person,MC1,Oceanus,Melinda Wade
location,MC1,,36b70b18-465a-442f-bfbe-cedb85d48acc
organization,MC1,,13
organization,MC1,,3887
vessel,MC1,,reefers
,MC1,,âencounteredâ
person,MC1,Country_271835,Veronica Payne
person,MC1,Country_271835,Ronnie Burns
person,MC1,Country_271835,Lisa Lambert
organization,MC1,,1360
person,MC1,Country_271835,Kimberly Lara
location,MC1,,2ad4f7ea-6f93-4a11-ace7-d7a4234bb991
location,MC1,,b24194ae-69ad-4e6c-be29-787c215cde65
person,MC1,Country_271835,Sara Jenkins
location,MC1,,19a4297e-2d2b-47c0-9dce-816148a16f4e
vessel,MC1,,Maru
person,MC1,Country_271835,Danielle Camacho
organization,MC1,,60693571
organization,MC1,,54073418
person,MC1,Country_271835,Mr. Justin Bailey MD
organization,MC1,,76568
location,MC1,,c682ec16-cd10-4a6c-94ce-4a5eb590b42e
person,MC1,Country_271835,Paula Allen
,MC1,,13 yearsâ
movement,MC1,,three
person,MC1,Country_271835,Christy Fields
person,MC1,Country_271835,Michele Hernandez
person,MC1,Country_271835,Mary Castillo
person,MC1,Country_271835,Jennifer Brown
person,MC1,Country_271835,John Barnes DDS
organization,MC1,,830155
person,MC1,Country_271835,Anna Turner
person,MC1,Country_271835,Stephanie Quinn
organization,MC1,,9590898
person,MC1,Arreciviento,Joshua Garrett
organization,MC1,,95230042
organization,MC1,,21240092
organization,MC1,,7234
organization,MC1,,6335187
organization,MC1,,695031
organization,MC1,,2508
organization,MC1,,6391
person,MC1,Country_271835,Mary Jenkins
political_organization,MC1,,75835980
organization,MC1,,23774
person,MC1,Luminsia,Nicole Smith
organization,MC1,,9992346
organization,MC1,,227
vessel,MC1,,ocean
person,MC1,Country_271835,Jennifer Reilly
political_organization,MC1,,79
organization,MC1,,39893
location,MC1,,47bd4f34-d0af-41f0-88c5-eb9d4fde440c
organization,MC1,,3782
organization,MC1,,7441
,MC1,,Fisheries Animal Industriesâ
person,MC1,Country_271835,Donald Thompson
person,MC1,Country_271835,Cynthia Byrd
person,MC1,Country_271835,Christopher Hernandez
organization,MC1,,58666504
person,MC1,Country_271835,Jennifer Frederick
organization,MC1,,70347729
organization,MC1,,116070050
location,MC1,,b47086b0-e225-436a-83b1-2cf5cda4dbd5
organization,MC1,,613465161
vessel,MC1,,bottom
person,MC1,Country_271835,Michael Patton
person,MC1,Country_271835,Kristin Jones
organization,MC1,,884648
organization,MC1,,90
organization,MC1,,353149780
organization,MC1,,2913
organization,MC1,,693436
location,MC1,,88a1fe65-33d9-487a-a3ac-d4208f41b754
person,MC1,Country_271835,Jenna Barton
location,MC1,,67f3755e-7f86-40a1-ae17-998d50a3e772
organization,MC1,,631919
person,MC1,Country_271835,Stephen Gutierrez
person,MC1,Country_271835,Jessica Owens
person,MC1,Country_271835,John Hutchinson
person,MC1,Country_271835,Daniel Wood
event,MC1,,â¬7
vessel,MC1,,reefer
vessel,MC1,,Fu Yuan Yu Leng 999
location,MC1,,88e9e7e8-3edf-4fd4-959d-8ec4f53e59d6
organization,MC1,,8732
organization,MC1,,44396
location,MC1,,f7a4114d-d1ca-44df-a7e0-c72e440671ba
organization,MC1,,6038
vessel,MC1,,Chinook
organization,MC1,,6274
location,MC1,,f9f6fc72-83db-4c44-a818-dde6c33985f9
organization,MC1,,6758207
,MC1,,abc12
political_organization,MC1,,40
organization,MC1,,615043
person,MC1,Country_271835,Robert Lewis
person,MC1,Country_271835,Margaret Nichols
organization,MC1,,64124835
organization,MC1,,767
person,MC1,Country_271835,Chris Grant
person,MC1,Country_271835,Angela Orr
organization,MC1,,67909
location,MC1,,e09b64a2-397a-4bec-96a1-7d61479fe37a
organization,MC1,,1012
person,MC1,Country_271835,Katelyn Gibson
person,MC1,Country_271835,Kayla Reynolds
organization,MC1,,724
organization,MC1,,824
person,MC1,Country_271835,William Williams
person,MC1,Country_271835,Vicki Owen
person,MC1,Country_271835,Alyssa Mccoy
location,MC1,,292bf7d9-d86c-411d-9a85-da0cb4535e22
location,MC1,,c82d3e99-b297-484e-a28a-76cba8d515cc
person,MC1,Country_271835,Scott Wright
organization,MC1,,854
political_organization,MC1,,2653581
person,MC1,Country_271835,John Conley
organization,MC1,,977
person,MC1,Country_271835,James Hernandez
location,MC1,,1f899410-3447-48e7-bcb3-cbff10619e86
organization,MC1,,39048624
vessel,MC1,,river
person,MC1,Country_271835,Rhonda Johnson
political_organization,MC1,,54
organization,MC1,,1853970
organization,MC1,,87648111
person,MC1,Country_271835,Barbara Mccarty
person,MC1,Country_271835,Christopher Simon
person,MC1,Country_271835,Lauren Jackson DDS
event,MC1,,ï¬shes
event,MC1,,ï¬sh
person,MC1,Country_990614,Darren Wilson
person,MC1,Country_271835,Andrew Miller
person,MC1,Country_990614,Erica Cisneros
political_organization,MC1,,440994840
person,MC1,Country_271835,Heather Hill
person,MC1,Country_271835,Krystal Lee
organization,MC1,,42258
organization,MC1,,506986590
organization,MC1,,7321
organization,MC1,,647724
organization,MC1,,272735814
person,MC1,Country_271835,Wesley Woods
company,MC1,Country_283574,Dry Creek Marine sanctuary
organization,MC1,,1214936
organization,MC1,,2751
person,MC1,Country_271835,Marvin White
person,MC1,Country_271835,Philip Black
person,MC1,Country_271835,Laurie Clark
organization,MC1,,7548555
vessel,MC1,,ARA Contraalmirante Cordero
person,MC1,Country_198078,Keith Webb
organization,MC1,,54217974
organization,MC1,,38
person,MC1,Country_271835,Elijah Gordon
organization,MC1,,71352
organization,MC1,,60806
location,MC1,,259e9338-b33e-4dc7-843a-96a720d22d9b
organization,MC1,,461553
organization,MC1,,538991
organization,MC1,,71
person,MC1,Oceanus,Rebecca Fox
event,MC1,,expect year
company,MC1,Country_271835,Charles OJSC Marine conservation
vessel,MC1,,shrimper
company,MC1,Ariuzima,Caracola Azul Limited Liability Company
person,MC1,Country_271835,Brandy Williams
location,MC1,,d6968538-6f18-4a1c-a4e2-59de3c0e25c2
vessel,MC1,,coastguard
company,MC1,Country_271835,Viento y Mar BV
person,MC1,Country_271835,Robert Vega
person,MC1,Country_271835,James Sampson
person,MC1,Country_271835,Debra Hebert
organization,MC1,,135024
organization,MC1,,38844
person,MC1,Country_271835,John Frederick
person,MC1,Country_271835,Allison Rodgers
organization,MC1,,759
location,MC1,,0ae94787-4593-4139-848d-9174ea13ac23
company,MC1,Country_271835,OceanFront Foods Co Beach
political_organization,MC1,,19186817
political_organization,MC1,,2748013
organization,MC1,,23636990
organization,MC1,,996
organization,MC1,,81661977
movement,MC1,,metric
organization,MC1,,24189
organization,MC1,,216
person,MC1,Oceanus,Frederick Hunter
organization,MC1,,9977227
organization,MC1,,64365043
location,MC1,,06c161ac-e601-493f-b8df-839382e16a74
organization,MC1,,458785
location,MC1,,e5e2e269-ccc5-4e16-88a8-e909c1fa32db
organization,MC1,,42
organization,MC1,,4258240
person,MC1,Country_271835,Julie Parks
organization,MC1,,891
location,MC1,,a96730cc-485e-46be-aba4-339442bacd8d
vessel,MC1,,USCGC
person,MC1,Country_271835,Kristi Weeks
vessel,MC1,,DDG
vessel,MC1,,USS
vessel,MC1,,USS Hurricane
vessel,MC1,,PC
person,MC1,Country_271835,Brandi White
person,MC1,Country_271835,Tara Hanson
person,MC1,Country_271835,Wesley Vasquez
organization,MC1,,16
person,MC1,Country_271835,Rebecca Adams
organization,MC1,,29481
person,MC1,Country_271835,Briana Johnson
organization,MC1,,6126134
organization,MC1,,595038316
organization,MC1,,673431
organization,MC1,,73704
organization,MC1,,6780
person,MC1,Country_271835,Mr. Joseph Johnson
organization,MC1,,7480
person,MC1,Country_271835,Marie Lee
organization,MC1,,4769248
organization,MC1,,3015
organization,MC1,,2679
location,MC1,,97836b65-db6a-43bf-9467-cf57d84645ff
person,MC1,Country_271835,Douglas Gillespie
,MC1,,âdisasterâ
person,MC1,Country_271835,Jonathan Garner
person,MC1,Country_271835,Amanda Contreras
vessel,MC1,,Long Xing 629
person,MC1,Country_271835,Bryan Hill
location,MC1,,58db776e-40f1-4e68-b13d-dcc42416ce58
person,MC1,Marebak,Anthony Le
person,MC1,Country_271835,Jo Francis
person,MC1,Country_271835,Stephanie Thompson
person,MC1,Country_271835,Michael Baker
organization,MC1,,868
organization,MC1,,99985383
organization,MC1,,298
person,MC1,Country_271835,Michael Wagner
person,MC1,Country_271835,Susan Hodges
person,MC1,Country_663412,Michael Chen
person,MC1,Country_271835,Jennifer Thompson
person,MC1,Country_271835,Sabrina Zamora
person,MC1,Country_271835,Hannah Chandler
vessel,MC1,,Deckhands
person,MC1,Country_271835,Bruce Bates
person,MC1,Country_271835,Kimberly Lopez
person,MC1,Country_271835,Teresa Jackson
,MC1,,âWe fins
location,MC1,,ecf18ac9-a773-43a0-98c8-cdd264565b2f
organization,MC1,,46
location,MC1,,65fea097-e838-4be6-9889-83f5361fe777
person,MC1,Country_907876,Ann Nelson
person,MC1,Country_948318,Robert Nguyen
location,MC1,,dec69ea4-1c0c-4b31-b6fe-7d0c7e4b8fd9
person,MC1,Country_271835,Dr. Michelle Dominguez
person,MC1,Country_271835,Charles Hart
vessel,MC1,,Tian
person,MC1,Oceanus,Patricia Bowen
person,MC1,Country_271835,Paul Holloway
person,MC1,Country_271835,Maria Russell
person,MC1,Country_271835,Justin Rodriguez
person,MC1,Country_271835,Carl Lopez
company,MC1,Country_271835,Mar del Norte Ferry
organization,MC1,,122245
organization,MC1,,4946
person,MC1,Country_271835,Gabriela Graham
person,MC1,Country_271835,Joseph Newman
person,MC1,Country_242593,Danielle Valdez
person,MC1,Country_271835,Susan Williamson
person,MC1,Country_271835,Lauren Reynolds
political_organization,MC1,,91
political_organization,MC1,,20
organization,MC1,,74211169
company,MC1,Islavaria,Romero Oyster NV Carriers
person,MC1,Country_271835,James Hall
organization,MC1,,3553
organization,MC1,,72875
vessel,MC1,,Coast Guard Cutter Edgar Culbertson
movement,MC1,,38
person,MC1,Country_443882,Heidi Kline
organization,MC1,,863749817
organization,MC1,,475
organization,MC1,,567217
vessel,MC1,,Oliver
person,MC1,Country_271835,Amanda Becker
organization,MC1,,160
person,MC1,Country_271835,Nicholas Dennis
organization,MC1,,938816
,MC1,,ðªðª
organization,MC1,,5469
organization,MC1,,4679
company,MC1,Country_271835,Cape Verde Islands Oyj
person,MC1,Country_271835,Andre Phillips
vessel,MC1,,USCGâs
vessel,MC1,,CutterOliverHenry
person,MC1,Country_271835,Scott Solis
person,MC1,Country_271835,Jonathan Spence
organization,MC1,,11
person,MC1,Country_271835,Tanner Smith
person,MC1,Country_271835,Emily Bailey
organization,MC1,,30041
organization,MC1,,468511
organization,MC1,,86
person,MC1,Country_271835,Ann Flowers
organization,MC1,,60774
organization,MC1,,47
person,MC1,Country_271835,Michael Bullock
person,MC1,Country_271835,Michelle Singh
vessel,MC1,,SSN
person,MC1,Country_271835,Tyler Palmer
vessel,MC1,,HMAS
location,MC1,,dec44f58-94b0-4070-bfb3-1e13ef308ec3
person,MC1,Country_271835,Chad Nichols
organization,MC1,,2114
organization,MC1,,34020206
company,MC1,Country_271835,Fin Flair Pic Delivery
person,MC1,Country_271835,Scott Wallace
person,MC1,Uzifrica,Tony Patterson
,MC1,,Sampath
organization,MC1,,683962
person,MC1,Country_271835,Anna Johnson
location,MC1,,95c715ba-891e-4472-8e2a-4e746dcc266a
person,MC1,Marebak,Anna Smith
organization,MC1,,760219951
political_organization,MC1,,36744944
organization,MC1,,734121719
person,MC1,Country_271835,Kathleen Gates
location,MC1,,6b58646e-1d3a-4b72-b8a0-9f57c296d73d
organization,MC1,,9357541
person,MC1,Country_271835,William Atkinson
person,MC1,Country_271835,Lisa Payne
organization,MC1,,87278
person,MC1,Country_271835,Christine Chaney
organization,MC1,,8226730
location,MC1,,5b199218-6513-430b-8e56-8aa1d83456a3
person,MC1,Country_271835,Mr. Jose King
person,MC1,Country_271835,Thomas Adams
organization,MC1,,75
person,MC1,Country_271835,Kimberly Olson
organization,MC1,,911243414
organization,MC1,,9280
location,MC1,,cc6cf3e0-5794-4497-a31d-79b4db1b55a9
person,MC1,Brindivaria,Ryan Garrett
organization,MC1,,408119
person,MC1,Country_271835,Gary Butler
person,MC1,Country_271835,Gary Smith
person,MC1,Country_271835,Denise Diaz
location,MC1,,6ead18ca-3084-4f8e-9c1e-a5e470fc5935
organization,MC1,,48259
location,MC1,,b636c0f8-2ddf-42ad-9f9c-73bd48682561
,MC1,,United Statesâ
organization,MC1,,55301
person,MC1,Country_271835,Elaine Duncan
,MC1,,Game Thiefâ
organization,MC1,,604905
organization,MC1,,784221
location,MC1,,ae19b5a7-4f70-4366-98ad-819e3009aeca
location,MC1,,d4947401-8ec7-48b9-a66f-45d983d59e0a
person,MC1,Country_271835,Dennis Little
,MC1,,âtransshipmentâ
person,MC1,Marebak,Brooke Garza
vessel,MC1,,Feng
organization,MC1,,82462633
person,MC1,Country_271835,Carrie Elliott
organization,MC1,,5235138
person,MC1,Country_338923,Breanna Ward
person,MC1,Country_271835,Donna Webb
event,MC1,,summer
person,MC1,Country_271835,Tracy Smith
person,MC1,Country_729731,Kimberly Petersen
person,MC1,Country_271835,Robert Schaefer
person,MC1,Country_271835,Samuel Stokes
person,MC1,Country_271835,Timothy Hernandez
organization,MC1,,5680682
political_organization,MC1,,47234884
person,MC1,Oceanus,Marcus English
person,MC1,Country_271835,Meghan Kim
person,MC1,Country_271835,David Nunez MD
event,MC1,,30
person,MC1,Country_271835,Thomas Diaz
person,MC1,Country_271835,Hannah Taylor
person,MC1,Country_271835,Joanna Brown
organization,MC1,,307
person,MC1,Country_271835,Monique Rios
event,MC1,,yearsâthat
political_organization,MC1,,950574
,MC1,,Pacific Island States United Statesâ
,MC1,,territory American Samoa
location,MC1,,62d4bdbc-8978-4cbf-b9ea-82aaa9188c91
organization,MC1,,900
company,MC1,Country_271835,Coastal Crusaders Kga Worldwide
person,MC1,Country_271835,Luis Douglas
company,MC1,Country_271835,Seashell Sanctum SRL Transport
person,MC1,Country_271835,Fernando Steele
person,MC1,Country_271835,David Tucker
company,MC1,Helvoris,Tiao piao AG Delivery
location,MC1,,e39609a3-b437-41c2-b114-e21dc69a9bb1
,MC1,,âeared sealsâ
person,MC1,Helvoris,Robert Mcintosh
person,MC1,Helvoris,Amber Sharp
person,MC1,Country_271835,James Anderson
organization,MC1,,497
organization,MC1,,7892
organization,MC1,,8513
organization,MC1,,1415
organization,MC1,,3433
person,MC1,Country_271835,Kara Sullivan
person,MC1,Kethanor,Teresa Gardner
person,MC1,Country_271835,Trevor Brown
person,MC1,Country_271835,Kimberly Roberts
person,MC1,Country_271835,Ricky Holland
person,MC1,Country_271835,Lydia Day
event,MC1,,âit
person,MC1,Country_271835,Nichole Kline
person,MC1,Country_271835,Ryan Rich
organization,MC1,,650749
person,MC1,Country_271835,Shawna Welch
person,MC1,Country_271835,Zachary Jordan
,MC1,,holesâ
organization,MC1,,89526932
event,MC1,,âfirst
organization,MC1,,26978247
,MC1,,nigeria
vessel,MC1,,boatâs
organization,MC1,,53792
location,MC1,,c66f5cd5-3891-43ce-a3f8-0147b3d643b1
location,MC1,,032522db-8105-4c26-8142-ae9d5806f7c5
person,MC1,Syrithania,Mrs. Melinda Richardson
person,MC1,Country_271835,Frederick Harris
organization,MC1,,30141220
organization,MC1,,90192265
person,MC1,Country_271835,Natalie Gill
location,MC1,,23f52980-e4f4-43da-ac02-9c1eef637751
organization,MC1,,245658
organization,MC1,,552027385
person,MC1,Country_271835,Brian Stevens
,MC1,,âconservativeâ
location,MC1,,e4e5b1ca-e210-4d3f-8cea-fa5c2309340f
location,MC1,,ce06b4c4-dd19-485d-ad52-f7cd953db1c2
location,MC1,,d2589980-b0c7-4c36-8ddf-8afe554853ea
person,MC1,Country_271835,Robin Fernandez
event,MC1,,week
person,MC1,Country_271835,Diana Kelley
person,MC1,Country_271835,Angela Wright
person,MC1,Country_271835,Miranda Small
person,MC1,Country_271835,Stacey Ortega
vessel,MC1,,FV
person,MC1,Country_980042,Gary Crawford PhD
vessel,MC1,,FV Snake
vessel,MC1,,FV Viking
vessel,MC1,,FV Thunder
,MC1,,Aquacultureâ
person,MC1,Country_271835,Paul Parker
organization,MC1,,4877
,MC1,,âdiscriminationâ
person,MC1,Country_271835,Jessica Gibson
location,MC1,,da7677f8-d1f0-4e35-afe9-4240613e866b
organization,MC1,,48115
person,MC1,Mawazam,Rhonda Sullivan
person,MC1,Country_216139,Adam Gutierrez
person,MC1,Country_271835,Gregory Carter
person,MC1,Country_271835,Martin Bryant
organization,MC1,,555
organization,MC1,,903311212
organization,MC1,,683113035
,MC1,,th
person,MC1,Country_271835,Bruce Spears
,MC1,,ItaquaÃ
location,MC1,,1710a32e-7a58-4d7f-9c5e-bf897b7419a3
person,MC1,Country_271835,Sherry Richmond
person,MC1,Country_271835,Daniel Shaffer
person,MC1,Country_271835,Sierra Vincent
person,MC1,Country_271835,Margaret Ward
person,MC1,Country_913963,Wendy Crane
person,MC1,Oceanus,Richard Bowers
person,MC1,Country_271835,Joshua Hammond
person,MC1,Country_230197,Samuel Cross
event,MC1,,âAs
organization,MC1,,47698
,MC1,,DECEUNINCK
person,MC1,Country_271835,Kristi Ryan
organization,MC1,,199
organization,MC1,,23990411
organization,MC1,,10880329
person,MC1,Oceanus,Rhonda Price
location,MC1,,45ff391d-0f6a-4ee4-abe6-8b06d07dbfd6
location,MC1,,e941d006-6590-4143-9d0d-12926b0b6f5c
person,MC1,Country_271835,Tyler Blanchard
person,MC1,Country_271835,Shawn Cook
location,MC1,,ce2247ab-4922-420f-8d42-504c4ddda305
person,MC1,Country_271835,Susan Montoya
person,MC1,Country_271835,William James
location,MC1,,e0cdfc51-7473-481d-8900-03f66d6e359e
person,MC1,Country_271835,Ricardo Gomez
organization,MC1,,75471
movement,MC1,,14 months
organization,MC1,,82408558
location,MC1,,f6cca381-c55e-44cc-b685-6c4139459b96
location,MC1,,f94bcae5-b023-48f6-a0d5-ff2f01cc00ed
event,MC1,,âcatch
event,MC1,,âtotal
company,MC1,Country_675160,Manipur Market AG Consultants
,MC1,,âMoby-Dickâ
location,MC1,,04eab3c4-ed99-467b-8844-b5279a6b955e
organization,MC1,,5312744
person,MC1,Country_271835,Amanda Santana
person,MC1,Country_271835,Dana Macias
person,MC1,Country_271835,Helen Chase
person,MC1,Country_271835,Candace Burnett
organization,MC1,,34153143
,MC1,,âTheoretically
person,MC1,Uzilandor,Jonathan Torres
person,MC1,Country_271835,Gary Dunn
organization,MC1,,721436
person,MC1,Country_271835,Brittany Frey
person,MC1,Country_271835,Brett Williams
,MC1,,Seafreeze Ltd
organization,MC1,,36033030
person,MC1,Country_271835,Todd Lane
person,MC1,Country_271835,Alicia Lee
organization,MC1,,8112222
organization,MC1,,19471
person,MC1,Country_271835,Linda Holden
person,MC1,Country_271835,Donna Romero
person,MC1,Country_271835,Amanda Garcia
company,MC1,Oceanus,Shona Barracuda AB Worldwide
organization,MC1,,415053
,MC1,,âBHFâ
person,MC1,Country_271835,Olivia Bradshaw
organization,MC1,,461541
,MC1,,âProPublicaâ
,MC1,,âyesterdayâ
event,MC1,,âlast week
,MC1,,âPortlandâ
vessel,MC1,,watercraft
person,MC1,Country_271835,Bradley Murphy
person,MC1,Country_271835,Madison Franklin
vessel,MC1,,Rapido beam
person,MC1,Country_271835,Mary Montoya
vessel,MC1,,Rapido beam trawler
movement,MC1,,ordinary
person,MC1,Country_271835,Kari Zavala
location,MC1,,91a2a8e6-f56f-4663-8be9-0bbfd5440489
location,MC1,,40cfcd88-fceb-49bd-a71a-053aacddad42
location,MC1,,cb537677-9d82-4d58-8066-899bdc51c4f1
,MC1,,4âÃâ15â
,MC1,,â60
vessel,MC1,,diesel
vessel,MC1,,bottom otter trawler
organization,MC1,,2820033
organization,MC1,,1559
organization,MC1,,495035052
organization,MC1,,25
organization,MC1,,96
organization,MC1,,60910422
organization,MC1,,285351
organization,MC1,,75399
location,MC1,,da91eeb8-11f7-4634-95e7-f9413e9957aa
organization,MC1,,720
location,MC1,,fdcbe098-dbe6-4e52-8bd7-96cf3ae30101
organization,MC1,,779
organization,MC1,,2673
organization,MC1,,6185842
organization,MC1,,762165
organization,MC1,,428
organization,MC1,,4962642
,MC1,,93
person,MC1,Country_271835,Olivia Bailey
,MC1,,96
location,MC1,,ffc679cd-57ac-4846-b023-8be73ca754fa
,MC1,,FlodstrÃ
organization,MC1,,700
organization,MC1,,941899076
organization,MC1,,520
organization,MC1,,85
organization,MC1,,9636
organization,MC1,,449
,MC1,,âcardingâ
person,MC1,Country_271835,Tyler Flores
vessel,MC1,,Michelle
organization,MC1,,2466
political_organization,MC1,,72212757
organization,MC1,,449820
organization,MC1,,6406914
person,MC1,Country_271835,Madeline Collins
organization,MC1,,76609426
person,MC1,Country_271835,Mrs. Jessica Meyer
event,MC1,,âMoreover
person,MC1,Country_271835,Darren Torres
person,MC1,Country_271835,Brittany Brewer
political_organization,MC1,,8651344
person,MC1,Country_271835,Daniel Roberts
location,MC1,,85b8a8cf-7f07-4bab-8b44-1d79940aab8d
organization,MC1,,933754160
person,MC1,Country_271835,Tyler Turner
,MC1,,allAfrica
